1451,PriceUpdate,0,1,1704420077105972017,[1,{12,1110499,697.8,,,,}]
3751,PriceUpdate,0,1,1704436200055162016,[1,{14,1110499,,,,,}]
3967,PriceUpdate,0,1,1704436200355170391,[1,{14,1110499,700,1,1,2,}]
3982,PriceUpdate,0,1,1704436200455173968,[1,{14,1110499,705,16,988,2,}]
4002,PriceUpdate,0,1,1704436200605177844,[1,{14,1110499,705,16,989,2,}]
4020,PriceUpdate,0,1,1704436200655178976,[1,{14,1110499,705,17,988,2,}]
4493,PriceUpdate,0,1,1704436201455201958,[1,{14,1110499,705,27,978,2,}]
4604,PriceUpdate,0,1,1704436201555205195,[1,{14,1110499,705,33,972,2,}]
6686,PriceUpdate,0,1,1704436205055301383,[1,{14,1110499,702.5,33,20,2,}]
6972,PriceUpdate,0,1,1704436205805322923,[1,{14,1110499,702.5,37,16,2,}]
7408,PriceUpdate,0,1,1704436206205335960,[1,{14,1110499,702.5,39,14,2,}]
7417,PriceUpdate,0,1,1704436206255336903,[1,{14,1110499,702.5,40,13,2,}]
7425,PriceUpdate,0,1,1704436206305338382,[1,{14,1110499,702.5,46,7,2,}]
7440,PriceUpdate,0,1,1704436206355340145,[1,{14,1110499,705,96,959,2,}]
7467,PriceUpdate,0,1,1704436206455343247,[1,{14,1110499,705,98,957,2,}]
7494,PriceUpdate,0,1,1704436206855352121,[1,{14,1110499,705,98,960,2,}]
7529,PriceUpdate,0,1,1704436206905353272,[1,{14,1110499,705,104,954,2,}]
7558,PriceUpdate,0,1,1704436207105359415,[1,{14,1110499,705,110,948,2,}]
8272,PriceUpdate,0,1,1704436210605451116,[1,{14,1110499,705,110,958,2,}]
9125,PriceUpdate,0,1,1704436217555672014,[1,{14,1110499,705,111,957,2,}]
10211,PriceUpdate,0,1,1704436223405853989,[1,{14,1110499,705,112,956,2,}]
10438,PriceUpdate,0,1,1704436224805909970,[1,{14,1110499,705,133,967,2,}]
10447,PriceUpdate,0,1,1704436224905912956,[1,{14,1110499,705,133,974,2,}]
10466,PriceUpdate,0,1,1704436224955914383,[1,{14,1110499,705,133,981,2,}]
10477,PriceUpdate,0,1,1704436225055917626,[1,{14,1110499,705,134,981,2,}]
10486,PriceUpdate,0,1,1704436225155919782,[1,{14,1110499,702.5,134,17,2,}]
10533,PriceUpdate,0,1,1704436225205921774,[1,{14,1110499,702.5,137,14,2,}]
10572,PriceUpdate,0,1,1704436225255922616,[1,{14,1110499,702.5,139,12,2,}]
10585,PriceUpdate,0,1,1704436225305924060,[1,{14,1110499,702.5,140,11,2,}]
10598,PriceUpdate,0,1,1704436225405927831,[1,{14,1110499,702.5,141,10,2,}]
10631,PriceUpdate,0,1,1704436225455930672,[1,{14,1110499,702.5,145,6,2,}]
10676,PriceUpdate,0,1,1704436225505934234,[1,{14,1110499,702.5,146,5,2,}]
10681,PriceUpdate,0,1,1704436225555938699,[1,{14,1110499,705,173,997,2,}]
10686,PriceUpdate,0,1,1704436225605941685,[1,{14,1110499,705,174,996,2,}]
10691,PriceUpdate,0,1,1704436225655944980,[1,{14,1110499,705,176,994,2,}]
10702,PriceUpdate,0,1,1704436225705949209,[1,{14,1110499,705,177,993,2,}]
10748,PriceUpdate,0,1,1704436225755960277,[1,{14,1110499,705,179,998,2,}]
11270,PriceUpdate,0,1,1704436229556284711,[1,{14,1110499,705,181,996,2,}]
11593,PriceUpdate,0,1,1704436231656428697,[1,{14,1110499,705,182,995,2,}]
11636,PriceUpdate,0,1,1704436231856434887,[1,{14,1110499,705,182,996,2,}]
11652,PriceUpdate,0,1,1704436231956441369,[1,{14,1110499,705,184,994,2,}]
11677,PriceUpdate,0,1,1704436232106447509,[1,{14,1110499,705,186,992,2,}]
12250,PriceUpdate,0,1,1704436234556544354,[1,{14,1110499,705,186,993,2,}]
12434,PriceUpdate,0,1,1704436235256575681,[1,{14,1110499,705,188,991,2,}]
12448,PriceUpdate,0,1,1704436235356580738,[1,{14,1110499,705,192,987,2,}]
12556,PriceUpdate,0,1,1704436235756595539,[1,{14,1110499,705,192,993,2,}]
12885,PriceUpdate,0,1,1704436238706703674,[1,{14,1110499,705,194,991,2,}]
13099,PriceUpdate,0,1,1704436246207021596,[1,{14,1110499,705,197,988,2,}]
13144,PriceUpdate,0,1,1704436248207087598,[1,{14,1110499,705,199,986,2,}]
13286,PriceUpdate,0,1,1704436252057221158,[1,{14,1110499,705,200,985,2,}]
13376,PriceUpdate,0,1,1704436253707268868,[1,{14,1110499,705,200,986,2,}]
14182,PriceUpdate,0,1,1704436275457995936,[1,{14,1110499,705,201,985,2,}]
15111,PriceUpdate,0,1,1704436329309557060,[1,{14,1110499,705,203,983,2,}]
22497,PriceUpdate,0,1,1704436804172995657,[1,{14,1110499,705,210,976,2,}]
22503,PriceUpdate,0,1,1704436805423035988,[1,{14,1110499,705,211,975,2,}]
22527,PriceUpdate,0,1,1704436812873267221,[1,{14,1110499,705,213,973,2,}]
22532,PriceUpdate,0,1,1704436815823352906,[1,{14,1110499,705,215,971,2,}]
22600,PriceUpdate,0,1,1704436839674126901,[1,{14,1110499,705,216,970,2,}]
22615,PriceUpdate,0,1,1704436844424277513,[1,{14,1110499,705,217,969,2,}]
22625,PriceUpdate,0,1,1704436847124359839,[1,{14,1110499,705,218,968,2,}]
22652,PriceUpdate,0,1,1704436852224531125,[1,{14,1110499,705,219,967,2,}]
22662,PriceUpdate,0,1,1704436857174695047,[1,{14,1110499,705,221,965,2,}]
22742,PriceUpdate,0,1,1704436865875021769,[1,{14,1110499,705,224,962,2,}]
22849,PriceUpdate,0,1,1704436969778284773,[1,{14,1110499,705,230,956,2,}]
22870,PriceUpdate,0,1,1704436970378302909,[1,{14,1110499,705,231,955,2,}]
23048,PriceUpdate,0,1,1704436977128516718,[1,{14,1110499,705,231,965,2,}]
23055,PriceUpdate,0,1,1704436977628548500,[1,{14,1110499,705,234,962,2,}]
23082,PriceUpdate,0,1,1704436979878633238,[1,{14,1110499,705,235,961,2,}]
23124,PriceUpdate,0,1,1704436984828801215,[1,{14,1110499,705,236,960,2,}]
23158,PriceUpdate,0,1,1704436991929040112,[1,{14,1110499,705,236,964,2,}]
23199,PriceUpdate,0,1,1704436994529130065,[1,{14,1110499,705,236,969,2,}]
23286,PriceUpdate,0,1,1704437104832532352,[1,{14,1110499,705,237,968,2,}]
23330,PriceUpdate,0,1,1704437114382843305,[1,{14,1110499,705,337,868,2,}]
23424,PriceUpdate,0,1,1704437120583011317,[1,{14,1110499,705,337,875,2,}]
23617,PriceUpdate,0,1,1704437133633430981,[1,{14,1110499,705,347,865,2,}]
24004,PriceUpdate,0,1,1704437184785176074,[1,{14,1110499,705,348,864,2,}]
24048,PriceUpdate,0,1,1704437200835659265,[1,{14,1110499,705,348,884,2,}]
24253,PriceUpdate,0,1,1704437238286816799,[1,{14,1110499,704.7,348,3,2,}]
24478,PriceUpdate,0,1,1704437295888741529,[1,{14,1110499,704.7,351,0,0,}]
24551,PriceUpdate,0,1,1704437314489301826,[1,{14,1110499,705,358,995,2,}]
24573,PriceUpdate,0,1,1704437328489738821,[1,{14,1110499,705,360,993,2,}]
24652,PriceUpdate,0,1,1704437356390688617,[1,{14,1110499,705,360,997,2,}]
24769,PriceUpdate,0,1,1704437375891245622,[1,{14,1110499,705,361,996,2,}]
24829,PriceUpdate,0,1,1704437395691867427,[1,{14,1110499,705,362,995,2,}]
24994,PriceUpdate,0,1,1704437444193422332,[1,{14,1110499,705,363,994,2,}]
25008,PriceUpdate,0,1,1704437448443594060,[1,{14,1110499,705,364,993,2,}]
25083,PriceUpdate,0,1,1704437472394345206,[1,{14,1110499,705,365,992,2,}]
25091,PriceUpdate,0,1,1704437472894358492,[1,{14,1110499,705,366,991,2,}]
25241,PriceUpdate,0,1,1704437483294702562,[1,{14,1110499,705,367,990,2,}]
25291,PriceUpdate,0,1,1704437488794880321,[1,{14,1110499,705,368,989,2,}]
25460,PriceUpdate,0,1,1704437537296489468,[1,{14,1110499,705,369,988,2,}]
25484,PriceUpdate,0,1,1704437541596619752,[1,{14,1110499,705,371,986,2,}]
25494,PriceUpdate,0,1,1704437542746670974,[1,{14,1110499,705,375,982,2,}]
25994,PriceUpdate,0,1,1704437884557705995,[1,{14,1110499,705,596,761,2,}]
26000,PriceUpdate,0,1,1704437895958018332,[1,{14,1110499,705,596,944,2,}]
26006,PriceUpdate,0,1,1704437900358145111,[1,{14,1110499,705,596,977,2,}]
26105,PriceUpdate,0,1,1704438000111230858,[1,{14,1110499,705,608,965,2,}]
26138,PriceUpdate,0,1,1704438002411340242,[1,{14,1110499,705,608,975,2,}]
26246,PriceUpdate,0,1,1704438005061428036,[1,{14,1110499,697.8,766,27,1,}]
26297,PriceUpdate,0,1,1704438006511497991,[1,{14,1110499,697.9,766,0,0,}]
26352,PriceUpdate,0,1,1704438014161739553,[1,{14,1110499,698,766,0,0,}]
26402,PriceUpdate,0,1,1704438024712056873,[1,{14,1110499,698,766,3,1,}]
26412,PriceUpdate,0,1,1704438026862116173,[1,{14,1110499,698,766,4,1,}]
26474,PriceUpdate,0,1,1704438039162470716,[1,{14,1110499,698,766,5,1,}]
26481,PriceUpdate,0,1,1704438039212471755,[1,{14,1110499,698,773,10,1,}]
26495,PriceUpdate,0,1,1704438041962561435,[1,{14,1110499,698,773,11,1,}]
26567,PriceUpdate,0,1,1704438063313234518,[1,{14,1110499,698.4,775,18,2,}]
26603,PriceUpdate,0,1,1704438066913344166,[1,{14,1110499,698.4,777,16,2,}]
26731,PriceUpdate,0,1,1704438094014222840,[1,{14,1110499,697.8,803,16,1,}]
27199,PriceUpdate,0,1,1704438142315817704,[1,{14,1110499,697.8,803,17,1,}]
27216,PriceUpdate,0,1,1704438144015868699,[1,{14,1110499,697.8,803,25,1,}]
27276,PriceUpdate,0,1,1704438149466026464,[1,{14,1110499,697.8,803,26,1,}]
27550,PriceUpdate,0,1,1704438204067787470,[1,{14,1110499,697.8,803,27,1,}]
27601,PriceUpdate,0,1,1704438211518028700,[1,{14,1110499,698.4,817,6,2,}]
27604,PriceUpdate,0,1,1704438211568030872,[1,{14,1110499,698.5,823,1,1,}]
27897,PriceUpdate,0,1,1704438302120892741,[1,{14,1110499,699,828,7,2,}]
27944,PriceUpdate,0,1,1704438326621655118,[1,{14,1110499,699,828,9,2,}]
27949,PriceUpdate,0,1,1704438326671656842,[1,{14,1110499,698.7,825,1,1,}]
28149,PriceUpdate,0,1,1704438376523277054,[1,{14,1110499,699,829,8,2,}]
28152,PriceUpdate,0,1,1704438376573278845,[1,{14,1110499,699,829,4,2,}]
28155,PriceUpdate,0,1,1704438385223577846,[1,{14,1110499,695,1679,1080,1,}]
28160,PriceUpdate,0,1,1704438385273578626,[1,{14,1110499,695,1679,1183,1,}]
28206,PriceUpdate,0,1,1704438482326584765,[1,{14,1110499,702.5,897,12,2,}]
28217,PriceUpdate,0,1,1704438482376586318,[1,{14,1110499,698.7,823,4,1,}]
28230,PriceUpdate,0,1,1704438500077111325,[1,{14,1110499,695,1681,1071,1,}]
28396,PriceUpdate,0,1,1704438659682184982,[1,{14,1110499,695,1684,1068,1,}]
28403,PriceUpdate,0,1,1704438659732185791,[1,{14,1110499,695,1727,1118,1,}]
28419,PriceUpdate,0,1,1704438701683525716,[1,{14,1110499,695,1727,1119,1,}]
28503,PriceUpdate,0,1,1704438838937914310,[1,{14,1110499,695,1727,1120,1,}]
28508,PriceUpdate,0,1,1704438838987916182,[1,{14,1110499,695,1721,1111,1,}]
28538,PriceUpdate,0,1,1704438887489448771,[1,{14,1110499,695,1721,1113,1,}]
28553,PriceUpdate,0,1,1704438900039813842,[1,{14,1110499,695,1739,1122,1,}]
28579,PriceUpdate,0,1,1704438902039873333,[1,{14,1110499,695,1739,1295,1,}]
28593,PriceUpdate,0,1,1704438905039964601,[1,{14,1110499,695,2260,774,1,}]
28599,PriceUpdate,0,1,1704438905089967176,[1,{14,1110499,695,2287,794,1,}]
28620,PriceUpdate,0,1,1704438907040032739,[1,{14,1110499,695,2328,893,1,}]
28884,PriceUpdate,0,1,1704438910490148488,[1,{14,1110499,695,2328,913,1,}]
29670,PriceUpdate,0,1,1704438913490362774,[1,{14,1110499,695,2328,934,1,}]
29673,PriceUpdate,0,1,1704438913540365336,[1,{14,1110499,695,2328,993,1,}]
29741,PriceUpdate,0,1,1704438923040751141,[1,{14,1110499,695,2347,974,1,}]
29805,PriceUpdate,0,1,1704438940391359234,[1,{14,1110499,695,2348,973,1,}]
29866,PriceUpdate,0,1,1704438958641929893,[1,{14,1110499,695,2359,962,1,}]
29957,PriceUpdate,0,1,1704439031894251952,[1,{14,1110499,695,2359,966,1,}]
30296,PriceUpdate,0,1,1704439440858076337,[1,{14,1110499,695,2363,962,1,}]
30301,PriceUpdate,0,1,1704439440908077242,[1,{14,1110499,695,2348,951,1,}]
30452,PriceUpdate,0,1,1704439476759034863,[1,{14,1110499,695,2348,954,1,}]
30455,PriceUpdate,0,1,1704439480609144491,[1,{14,1110499,695,2360,942,1,}]
30549,PriceUpdate,0,1,1704439498209616024,[1,{14,1110499,695,2420,882,1,}]
31307,PriceUpdate,0,1,1704439750468325932,[1,{14,1110499,695,2422,880,1,}]
31310,PriceUpdate,0,1,1704439750518328536,[1,{14,1110499,695,2416,886,1,}]
31315,PriceUpdate,0,1,1704439753268403331,[1,{14,1110499,695,2426,876,1,}]
31328,PriceUpdate,0,1,1704439771268883717,[1,{14,1110499,695,2427,875,1,}]
31331,PriceUpdate,0,1,1704439771518890155,[1,{14,1110499,695,2427,876,1,}]
31601,PriceUpdate,0,1,1704439850471028479,[1,{14,1110499,695,2427,878,1,}]
31604,PriceUpdate,0,1,1704439850521029446,[1,{14,1110499,695,2427,866,1,}]
31607,PriceUpdate,0,1,1704439857171199941,[1,{14,1110499,695,2427,922,1,}]
31665,PriceUpdate,0,1,1704439862821345282,[1,{14,1110499,695,2427,962,1,}]
31670,PriceUpdate,0,1,1704439862921347597,[1,{14,1110499,695,2427,982,1,}]
31942,PriceUpdate,0,1,1704439987175178653,[1,{14,1110499,695,2427,983,1,}]
31983,PriceUpdate,0,1,1704440015126101166,[1,{14,1110499,695,2427,985,1,}]
31986,PriceUpdate,0,1,1704440015176102358,[1,{14,1110499,695,2421,991,1,}]
32025,PriceUpdate,0,1,1704440047727190186,[1,{14,1110499,695,2425,987,1,}]
32034,PriceUpdate,0,1,1704440049627246415,[1,{14,1110499,695,2425,1006,1,}]
32045,PriceUpdate,0,1,1704440073977962051,[1,{14,1110499,695,2425,1018,1,}]
32052,PriceUpdate,0,1,1704440074777982693,[1,{14,1110499,695,2425,1019,1,}]
32062,PriceUpdate,0,1,1704440074827983549,[1,{14,1110499,695,2425,1020,1,}]
32132,PriceUpdate,0,1,1704440091428523965,[1,{14,1110499,695,2425,1023,1,}]
32135,PriceUpdate,0,1,1704440091478526336,[1,{14,1110499,695,2425,1014,1,}]
32172,PriceUpdate,0,1,1704440108979073977,[1,{14,1110499,695,2643,796,1,}]
32177,PriceUpdate,0,1,1704440109029076573,[1,{14,1110499,695,2650,821,1,}]
32188,PriceUpdate,0,1,1704440109429090670,[1,{14,1110499,695,2650,824,1,}]
32299,PriceUpdate,0,1,1704440158080601543,[1,{14,1110499,695,2650,829,1,}]
32302,PriceUpdate,0,1,1704440158130603938,[1,{14,1110499,695,2650,842,1,}]
32351,PriceUpdate,0,1,1704440224882805053,[1,{14,1110499,695,2650,843,1,}]
32581,PriceUpdate,0,1,1704440400188284809,[1,{14,1110499,695,2650,873,1,}]
32586,PriceUpdate,0,1,1704440400238287184,[1,{14,1110499,695,2643,870,1,}]
32616,PriceUpdate,0,1,1704440412488664552,[1,{14,1110499,695,2643,871,1,}]
32658,PriceUpdate,0,1,1704440432339301164,[1,{14,1110499,695,2643,964,1,}]
32661,PriceUpdate,0,1,1704440433039321262,[1,{14,1110499,695,2643,967,1,}]
32664,PriceUpdate,0,1,1704440433839344495,[1,{14,1110499,695,2643,968,1,}]
32705,PriceUpdate,0,1,1704440436439455522,[1,{14,1110499,695,2643,969,1,}]
32770,PriceUpdate,0,1,1704440439889579610,[1,{14,1110499,695,2683,929,1,}]
33081,PriceUpdate,0,1,1704440487040999037,[1,{14,1110499,695,2683,930,1,}]
33199,PriceUpdate,0,1,1704440560493299748,[1,{14,1110499,695,2690,923,1,}]
33363,PriceUpdate,0,1,1704440677146952065,[1,{14,1110499,695,2690,953,1,}]
33369,PriceUpdate,0,1,1704440677196954538,[1,{14,1110499,695,2690,946,1,}]
33392,PriceUpdate,0,1,1704440695697564430,[1,{14,1110499,695,2690,947,1,}]
35034,PriceUpdate,0,1,1704440707898399234,[1,{14,1110499,695,2690,953,1,}]
35041,PriceUpdate,0,1,1704440707998405534,[1,{14,1110499,695,2692,951,1,}]
35323,PriceUpdate,0,1,1704440710848562754,[1,{14,1110499,695,2692,970,1,}]
35714,PriceUpdate,0,1,1704440713098893227,[1,{14,1110499,695,2692,995,1,}]
36739,PriceUpdate,0,1,1704440715499389347,[1,{14,1110499,695,2879,808,1,}]
36758,PriceUpdate,0,1,1704440715549390908,[1,{14,1110499,695,2879,814,1,}]
37533,PriceUpdate,0,1,1704440718349503685,[1,{14,1110499,695,3061,632,1,}]
37555,PriceUpdate,0,1,1704440718399506260,[1,{14,1110499,695,3069,637,1,}]
37589,PriceUpdate,0,1,1704440718449512595,[1,{14,1110499,695,3069,679,1,}]
44768,PriceUpdate,0,1,1704440757901092282,[1,{14,1110499,695,3069,681,1,}]
44771,PriceUpdate,0,1,1704440757951094203,[1,{14,1110499,695,3069,686,1,}]
44881,PriceUpdate,0,1,1704440805903429690,[1,{14,1110499,695,3069,687,1,}]
44940,PriceUpdate,0,1,1704440819253820271,[1,{14,1110499,695,3069,794,1,}]
45047,PriceUpdate,0,1,1704440829204101486,[1,{14,1110499,695,3069,904,1,}]
45072,PriceUpdate,0,1,1704440833004206850,[1,{14,1110499,695,3069,906,1,}]
45200,PriceUpdate,0,1,1704440888855793865,[1,{14,1110499,695,3069,921,1,}]
45293,PriceUpdate,0,1,1704440929906877740,[1,{14,1110499,695,3069,922,1,}]
45313,PriceUpdate,0,1,1704440943807256380,[1,{14,1110499,695,3069,921,1,}]
45403,PriceUpdate,0,1,1704440998858733738,[1,{14,1110499,695,3069,938,1,}]
45408,PriceUpdate,0,1,1704440998908735405,[1,{14,1110499,695,3063,935,1,}]
45489,PriceUpdate,0,1,1704441001708810016,[1,{14,1110499,695,3063,937,1,}]
45545,PriceUpdate,0,1,1704441006458942105,[1,{14,1110499,695,3067,933,1,}]
45549,PriceUpdate,0,1,1704441006508944906,[1,{14,1110499,695,3087,913,1,}]
45562,PriceUpdate,0,1,1704441006758953724,[1,{14,1110499,695,3087,934,1,}]
45568,PriceUpdate,0,1,1704441006908957870,[1,{14,1110499,695,3087,943,1,}]
45592,PriceUpdate,0,1,1704441007408974273,[1,{14,1110499,695,3087,1272,1,}]
45600,PriceUpdate,0,1,1704441007958989719,[1,{14,1110499,695,3087,1296,1,}]
45670,PriceUpdate,0,1,1704441009459030200,[1,{14,1110499,695,3087,1564,1,}]
45674,PriceUpdate,0,1,1704441009609034248,[1,{14,1110499,695,3087,1577,1,}]
45893,PriceUpdate,0,1,1704441016759261412,[1,{14,1110499,695,3396,1268,1,}]
45896,PriceUpdate,0,1,1704441016809263046,[1,{14,1110499,695,3396,1273,1,}]
45918,PriceUpdate,0,1,1704441018809319436,[1,{14,1110499,695,3396,1446,1,}]
